Delegacia,Furtos,Roubo_de_carga,Roubos,Roubo_de_veiculos_total,Furto_de_veiculo,Latrocinios,Homicidio_doloso_por_acidente_de_transito,Homicidio_Culposo_por_acidente_de_Transito,Homicidio_Culposo,Tentativa_de_Homicidio,Lesao_Corporal_seguida_de_morte,Lesao_Corporal_Dolosa,Lesao_Corporal_Culposa_por_acidente_de_transito,Lesao_Corporal_Culposa,Estupro,Estupro_de_vulneravel,Roubo_a_Banco,Ano
026 DP - Sacomã,538,11,662,151,182,0,0,1,0,4,0,317,55,8,5,6,0,2020
083 DP - Parque Bristol,441,13,877,173,160,3,0,1,0,6,0,339,53,2,7,8,0,2020
059 DP - Jardim Noemia,692,27,944,113,105,3,0,1,0,5,0,250,50,2,8,21,0,2020
016 DP - Vila Clementino,2256,5,1223,199,675,2,0,1,1,0,1,480,221,27,9,11,2,2020
058 DP - Vila Formosa,430,6,450,78,332,1,0,2,0,3,0,97,45,1,1,5,0,2020
048 DP - Cidade Dutra,777,10,1073,92,101,2,0,2,0,4,0,172,104,3,3,11,0,2020
096 DP - Monções,2526,8,1065,63,249,0,0,2,0,0,0,225,64,6,3,4,0,2020
029 DP - Vila Diva,512,4,484,88,404,4,0,2,0,3,0,121,70,2,3,5,0,2020
034 DP - Vila Sonia,1376,13,1211,187,247,5,1,2,0,3,0,177,197,9,4,12,0,2020
056 DP - Vila Alpina,964,19,697,154,408,2,1,2,0,4,0,133,97,7,4,5,1,2020
014 DP - Pinheiros,4126,9,1670,101,499,2,0,2,0,9,1,175,121,10,5,5,0,2020
078 DP - Jardins,6097,2,1759,16,282,3,0,2,0,2,0,199,110,27,5,5,0,2020
005 DP - Aclimação,2229,3,870,16,320,1,0,2,0,2,1,263,77,5,5,3,0,2020
015 DP - Itaim Bibi,3364,7,1051,59,260,1,0,2,0,2,0,124,120,5,6,7,1,2020
028 DP - Freguesia do Ó,1468,37,1034,141,299,4,0,2,0,5,0,290,167,9,8,16,0,2020
053 DP - Parque do Carmo,969,71,1380,313,353,6,0,2,1,10,0,338,168,6,8,22,0,2020
032 DP - Itaquera,1152,7,1267,153,318,3,0,2,0,8,0,289,120,8,9,25,0,2020
077 DP - Santa Cecília,3783,2,1735,23,122,4,0,2,0,6,1,244,65,4,9,8,0,2020
080 DP - Vila Joaniza,900,13,1613,134,110,2,0,3,0,6,1,208,64,0,1,5,0,2020
031 DP - Vila Carrão,400,8,395,53,317,1,0,3,0,3,0,115,82,8,1,7,0,2020
042 DP - Parque São Lucas,644,10,839,182,670,2,0,3,1,4,0,139,81,67,4,17,0,2020
045 DP - Vila Brasilândia,693,30,602,63,112,9,0,3,0,4,0,258,62,4,4,25,0,2020
004 DP - Consolação,4286,4,1649,9,170,2,0,3,0,5,0,158,49,3,5,2,0,2020
008 DP - Brás,3977,15,1194,51,277,7,0,3,1,7,0,276,137,12,5,6,0,2020
043 DP - Cidade Ademar,617,7,1607,145,82,4,0,3,0,5,1,229,63,3,5,11,1,2020
068 DP - Lajeado,1086,7,1404,208,156,6,0,3,0,8,2,302,81,7,6,31,0,2020
039 DP - Vila Gustavo,1420,16,1076,87,533,7,0,3,0,5,0,311,118,12,6,19,0,2020
027 DP - Campo Belo,1584,10,1105,153,265,0,0,3,0,3,0,239,129,32,7,12,1,2020
009 DP - Carandiru,2771,54,1238,98,406,5,0,3,0,1,0,182,131,41,8,10,0,2020
038 DP - Vila Amália,1232,25,907,90,226,9,0,3,1,8,0,362,124,4,9,16,0,2020
069 DP - Teotônio Vilela,1260,31,1363,267,543,10,0,3,0,8,1,384,120,8,10,38,0,2020
013 DP - Casa Verde,2211,17,1123,131,504,4,0,3,0,4,0,221,138,10,17,13,1,2020
090 DP - Parque Novo Mundo,1098,52,936,128,206,15,0,4,0,2,1,130,81,3,1,10,0,2020
023 DP - Perdizes,4628,8,1643,68,508,1,0,4,1,5,0,169,89,4,3,6,0,2020
041 DP - Vila Rica,1047,28,1441,193,549,3,0,4,0,2,0,330,113,5,4,26,0,2020
035 DP - Jabaquara,1655,17,1796,358,252,5,0,4,0,3,1,409,141,11,5,13,1,2020
095 DP - Heliópolis,707,54,1435,300,301,6,0,4,0,8,0,316,61,5,5,18,0,2020
021 DP - Vila Matilde,1118,9,1286,142,449,4,0,4,1,1,0,270,135,8,6,17,0,2020
103 DP - Cohab Itaquera,928,16,949,133,225,0,0,4,0,3,0,364,63,1,7,15,0,2020
099 DP - Campo Grande,1272,11,1079,158,231,4,0,4,0,1,0,139,134,6,7,7,1,2020
044 DP - Guaianazes,1299,73,1949,351,182,11,2,4,2,13,0,306,80,10,7,25,1,2020
012 DP - Pari,5947,59,1849,57,288,17,0,4,1,9,0,314,140,24,9,11,1,2020
064 DP - Cidade A E Carvalho,1795,14,1584,190,422,10,0,4,0,7,3,476,67,20,11,29,1,2020
001 DP - Sé,8442,53,3201,20,118,14,0,4,1,9,1,334,106,9,16,7,0,2020
102 DP - Socorro,757,9,856,75,103,0,0,5,0,2,0,78,102,10,2,5,0,2020
075 DP - Jardim Arpoador,880,84,1418,233,175,9,0,5,0,7,0,246,74,35,3,21,0,2020
072 DP - Vila Penteado,881,30,745,81,96,17,0,5,1,9,0,223,116,6,4,29,0,2020
054 DP - Cidade Tiradentes,1125,110,1575,262,231,19,0,5,0,14,1,418,81,3,5,31,0,2020
091 DP - Ceagesp,1260,27,523,65,280,4,0,5,0,7,0,133,107,7,5,1,1,2020
098 DP - Jardim Míriam,1009,13,2369,338,186,14,0,5,0,19,0,376,147,1,7,27,0,2020
050 DP - Itaim Paulista,2078,18,2623,303,285,10,0,5,0,7,0,410,107,18,18,48,0,2020
022 DP - São Miguel Paulista,1554,15,1260,147,251,7,0,6,0,4,1,296,106,9,2,31,0,2020
011 DP - Santo Amaro,3071,10,1846,145,388,1,0,6,0,8,1,255,177,53,4,4,1,2020
010 DP - Penha de França,1514,18,1192,143,467,6,0,6,1,11,0,349,172,15,4,16,0,2020
070 DP - Vila Ema,905,43,1309,243,497,15,0,6,0,7,0,209,113,16,5,23,0,2020
093 DP - Jaguaré,1054,34,670,91,233,5,0,6,4,3,0,71,112,42,6,12,0,2020
051 DP - Butantã,1265,27,1047,159,125,4,0,6,0,8,0,225,111,6,8,7,0,2020
024 DP - Ponte Rasa,1392,9,1096,91,454,8,0,6,1,5,1,385,120,9,10,24,0,2020
049 DP - São Mateus,2195,104,2364,642,573,15,0,6,1,16,0,408,146,6,11,36,0,2020
025 DP - Parelheiros,876,18,1203,155,111,30,0,6,0,4,0,353,113,2,12,56,0,2020
092 DP - Parque Santo Antônio,1694,26,2739,169,271,11,0,6,0,19,0,525,148,10,17,38,0,2020
066 DP - Vale do Aricanduva,1233,15,1269,192,361,2,0,7,0,3,0,331,107,5,3,17,0,2020
065 DP - Artur Alvim,1745,5,911,122,255,4,0,7,0,4,0,233,76,5,4,11,0,2020
062 DP - Ermelino Matarazzo,1339,18,1051,102,210,11,0,7,0,10,2,280,103,16,6,19,1,2020
030 DP - Tatuapé,1873,5,921,133,870,2,0,7,0,7,0,168,147,8,7,5,0,2020
063 DP - Vila Jacuí,1383,14,1420,193,280,11,0,7,0,8,1,355,125,12,8,35,0,2020
085 DP - Jardim Mirna,1486,120,2640,158,213,21,0,7,0,16,1,503,89,7,14,41,0,2020
100 DP - Jardim Herculano,1213,83,2486,263,173,32,1,7,0,18,1,557,106,4,17,52,0,2020
089 DP - Portal do Morumbi,1328,10,1341,139,109,13,1,8,0,10,1,251,138,6,7,17,0,2020
037 DP - Campo Limpo,2253,123,3467,330,298,21,0,8,0,16,1,569,189,3,16,50,0,2020
097 DP - Americanópolis,720,34,1245,219,121,5,0,9,0,4,1,291,72,8,7,15,0,2020
047 DP - Capão Redondo,1878,139,4314,316,256,32,0,9,0,27,1,812,235,6,12,75,0,2020
019 DP - Vila Maria,863,21,735,53,270,2,0,10,0,1,0,160,105,10,6,14,0,2020
074 DP - Jaraguá,1387,259,1587,235,261,17,0,10,0,10,1,459,115,10,8,60,0,2020
033 DP - Pirituba,983,59,950,219,406,5,0,11,0,4,0,121,106,19,2,13,0,2020
101 DP - Jardim das Imbuias,1764,97,2802,167,168,5,1,12,1,8,0,604,160,12,19,42,0,2020
046 DP - Perus,1311,141,1431,338,242,25,0,19,0,16,0,538,174,7,10,67,0,2020
073 DP - Jaçanã,1791,91,1774,268,397,14,0,22,1,16,0,513,171,38,13,53,0,2020
